date,CN_IMPORT
1992-01,3016000000.0
1992-02,4851000000.0
1992-03,5893000000.0
1992-04,6084000000.0
1992-05,6358000000.0
1992-06,6820000000.0
1992-07,6273000000.0
1992-08,6370000000.0
1992-09,6842000000.0
1992-10,7099000000.0
1992-11,7635000000.0
1992-12,13343000000.0
1993-01,3204000000.0
1993-02,6473000000.0
1993-03,7582000000.0
1993-04,7481000000.0
1993-05,8509000000.0
1993-06,7385000000.0
1993-07,8764000000.0
1993-08,8757000000.0
1993-09,9554000000.0
1993-10,8638000000.0
1993-11,9526000000.0
1993-12,18086000000.0
1994-01,5716000000.0
1994-02,5963000000.0
1994-03,8725000000.0
1994-04,9407000000.0
1994-05,9445000000.0
1994-06,9857000000.0
1994-07,9621000000.0
1994-08,10035000000.0
1994-09,9214000000.0
1994-10,9408000000.0
1994-11,10307000000.0
1994-12,17916000000.0
1995-01,6500000000.0
1995-02,7123000000.0
1995-03,10241000000.0
1995-04,10278000000.0
1995-05,11493000000.0
1995-06,10955000000.0
1995-07,11126000000.0
1995-08,11580000000.0
1995-09,11292000000.0
1995-10,10971000000.0
1995-11,12045000000.0
1995-12,18480000000.0
1996-01,10107000000.0
1996-02,8111000000.000001
1996-03,11121000000.0
1996-04,10898000000.0
1996-05,11998000000.0
1996-06,10909000000.0
1996-07,11306000000.0
1996-08,11136000000.0
1996-09,10294000000.0
1996-10,11306000000.0
1996-11,11617000000.0
1996-12,20032000000.0
1997-01,9987000000.0
1997-02,7714000000.0
1997-03,11110000000.0
1997-04,11220000000.0
1997-05,11742000000.0
1997-06,11254000000.0
1997-07,12786000000.0
1997-08,11067000000.0
1997-09,11472000000.0
1997-10,12835000000.0
1997-11,12091000000.0
1997-12,19093000000.0
1998-01,8695000000.0
1998-02,9101000000.0
1998-03,11775000000.0
1998-04,11654000000.0
1998-05,11239000000.0
1998-06,11840000000.0
1998-07,11929000000.0
1998-08,10848000000.0
1998-09,11522000000.0
1998-10,11666000000.0
1998-11,12358000000.0
1998-12,17610000000.0
1999-01,9893000000.0
1999-02,8713000000.0
1999-03,14368000000.0
1999-04,13824000000.0
1999-05,13651000000.0
1999-06,14517000000.0
1999-07,13913000000.0
1999-08,13443000000.0
1999-09,15260000000.0
1999-10,13788000000.0
1999-11,16907000000.0
1999-12,17422000000.0
2000-01,15258000000.0
2000-02,13428000000.0
2000-03,17806000000.0
2000-04,18355000000.0
2000-05,16966000000.000002
2000-06,20300000000.0
2000-07,19490000000.0
2000-08,20785000000.0
2000-09,20713000000.0
2000-10,18943000000.0
2000-11,21641000000.0
2000-12,21414000000.0
2001-01,15545000000.0
2001-02,18226000000.0
2001-03,20773000000.0
2001-04,21859000000.0
2001-05,18809000000.0
2001-06,21252000000.0
2001-07,20957000000.0
2001-08,22162000000.0
2001-09,21851000000.0
2001-10,18902000000.0
2001-11,20846000000.0
2001-12,22390000000.0
2002-01,18970000000.0
2002-02,15918000000.0
2002-03,22486000000.0
2002-04,25753000000.0
2002-05,22435000000.0
2002-06,23094000000.0
2002-07,26988000000.0
2002-08,27206000000.0
2002-09,29794000000.0
2002-10,25197000000.0
2002-11,28735000000.0
2002-12,28734000000.0
2003-01,31016000000.0
2003-02,23780000000.0
2003-03,32549000000.0
2003-04,34601000000.0
2003-05,31604000000.0
2003-06,32336000000.0
2003-07,36514000000.0
2003-08,34621000000.0
2003-09,41652000000.0
2003-10,35193000000.0
2003-11,36893000000.0
2003-12,42336000000.0
2004-01,35710000000.0
2004-02,42020000000.0
2004-03,46480000000.0
2004-04,49530000000.0
2004-05,42980000000.0
2004-06,48890000000.0
2004-07,48980000000.0
2004-08,46820000000.0
2004-09,50720000000.0
2004-10,45440000000.0
2004-11,50970000000.0
2004-12,52680000000.0
2005-01,44260000000.0
2005-02,39900000000.0
2005-03,55210000000.0
2005-04,57660000000.0
2005-05,49400000000.0
2005-06,56210000000.0
2005-07,54900000000.0
2005-08,57780000000.0
2005-09,62570000000.0
2005-10,56050000000.0
2005-11,61660000000.0
2005-12,64379999999.99999
2006-01,55497000000.0
2006-02,51684000000.0
2006-03,66857000000.0
2006-04,66491000000.0
2006-05,60110000000.0
2006-06,66808000000.00001
2006-07,65714000000.0
2006-08,71970000000.0
2006-09,76342000000.0
2006-10,64298000000.0
2006-11,72926000000.0
2006-12,73097000000.0
2007-01,70726000000.0
2007-02,58358000000.0
2007-03,76686000000.0
2007-04,80760000000.0
2007-05,71644000000.0
2007-06,76469000000.0
2007-07,83347000000.0
2007-08,86224000000.0
2007-09,88263000000.0
2007-10,80547000000.0
2007-11,91203000000.0
2007-12,91723000000.0
2008-01,90230000000.0
2008-02,79130000000.0
2008-03,95800000000.0
2008-04,102390000000.0
2008-05,100770000000.0
2008-06,100470000000.0
2008-07,111412000000.0
2008-08,105999000000.0
2008-09,106792000000.0
2008-10,92748000000.0
2008-11,74657000000.0
2008-12,72046000000.0
2009-01,51375000000.0
2009-02,60058000000.0
2009-03,71886000000.0
2009-04,78987000000.0
2009-05,75689000000.0
2009-06,87540000000.0
2009-07,95150000000.0
2009-08,88243000000.0
2009-09,103199000000.0
2009-10,86848000000.0
2009-11,94691000000.0
2009-12,112349000000.0
2010-01,95517000000.0
2010-02,87110000000.0
2010-03,119465000000.0
2010-04,118434000000.0
2010-05,112213000000.0
2010-06,117153000000.0
2010-07,116888000000.0
2010-08,119475000000.0
2010-09,128356000000.0
2010-10,109107000000.0
2010-11,130970000000.0
2010-12,141466000000.0
2011-01,144591000000.0
2011-02,104270000000.0
2011-03,152310000000.0
2011-04,144370000000.0
2011-05,144120000000.0
2011-06,139700000000.0
2011-07,145020000000.0
2011-08,155390000000.0
2011-09,154990000000.0
2011-10,140230000000.0
2011-11,159770000000.0
2011-12,158020000000.0
2012-01,122813000000.0
2012-02,146394000000.0
2012-03,160395000000.0
2012-04,144581000000.0
2012-05,162863000000.0
2012-06,148199000000.0
2012-07,151629000000.0
2012-08,151467000000.0
2012-09,158696000000.0
2012-10,143448000000.0
2012-11,159776000000.0
2012-12,167805000000.0
2013-01,159156000000.0
2013-02,124450000000.0
2013-03,183059000000.0
2013-04,168619000000.0
2013-05,162160000000.0
2013-06,146979000000.0
2013-07,168160000000.0
2013-08,162321000000.0
2013-09,170556000000.0
2013-10,154341000000.0
2013-11,168390000000.0
2013-12,182165000000.0
2014-01,175138000000.0
2014-02,136846000000.0
2014-03,162257000000.0
2014-04,169980000000.0
2014-05,159537000000.0
2014-06,155223800000.0
2014-07,165590000000.0
2014-08,158629400000.0
2014-09,182635500000.0
2014-10,161461200000.0
2014-11,156966500000.0
2014-12,177900700000.0
2015-01,140561000000.0
2015-02,108485000000.0
2015-03,141719000000.0
2015-04,142701000000.0
2015-05,131645999999.99998
2015-06,144347000000.0
2015-07,151292000000.0
2015-08,136473000000.0
2015-09,145317000000.0
2015-10,130902999999.99998
2015-11,142616000000.0
2015-12,163506000000.0
2016-01,112591000000.0
2016-02,93633000000.0
2016-03,130312999999.99998
2016-04,126998000000.0
2016-05,130996000000.0
2016-06,131447000000.0
2016-07,132050999999.99998
2016-08,138601000000.0
2016-09,142503000000.0
2016-10,128419999999.99998
2016-11,149317000000.0
2016-12,168595000000.0
2017-01,131889999999.99998
2017-02,129500000000.0
2017-03,156380000000.0
2017-04,141490000000.0
2017-05,149230000000.0
2017-06,153560000000.0
2017-07,146690000000.0
2017-08,157090000000.0
2017-09,169570000000.0
2017-10,150810000000.0
2017-11,177170000000.0
2017-12,177112000000.0
2018-01,180142000000.0
2018-02,137630000000.0
2018-03,179100000000.0
2018-04,171650000000.0
2018-05,187950000000.0
2018-06,175113000000.0
2018-07,187516000000.0
2018-08,189440000000.0
2018-09,195000000000.0
2018-10,182375000000.0
2018-11,182670000000.0
2018-12,164190000000.0
2019-01,179670000000.0
2019-02,132371000000.0
2019-03,166867000000.0
2019-04,180532000000.0
2019-05,172773000000.0
2019-06,162817000000.0
2019-07,177758000000.0
2019-08,180157000000.0
2019-09,179137000000.0
2019-10,170671000000.0
2019-11,184266000000.0
2019-12,191390000000.0
2020-01,156921000000.0
2020-02,142372000000.0
2020-03,164603000000.0
2020-04,154547000000.0
2020-05,144811000000.0
2020-06,168167000000.0
2020-07,176530000000.0
2020-08,177272000000.0
2020-09,203269000000.0
2020-10,178908000000.0
2020-11,192663000000.0
2020-12,205898000000.0
2021-01,201975000000.0
2021-02,169378000000.0
2021-03,228992000000.0
2021-04,222619000000.0
2021-05,220394000000.0
2021-06,230865000000.0
2021-07,226439000000.0
2021-08,234726000000.0
2021-09,237162000000.0
2021-10,214714000000.0
2021-11,253012000000.0
2021-12,246454000000.0
2022-01,243972000000.0
2022-02,188620000000.0
2022-03,230017000000.0
2022-04,222674000000.0
2022-05,227787000000.0
2022-06,233322900000.0
2022-07,231697000000.0
2022-08,235527200000.0
2022-09,238011700000.0
2022-10,213217900000.0
2022-11,226252600000.0
2022-12,228066200000.0
2023-01,192211300000.0
2023-02,197204800000.0
2023-03,227398600000.0
2023-04,205209800000.0
2023-05,217692000000.0
2023-06,214702200000.0
2023-07,201159400000.0
2023-08,216592700000.0
2023-09,221298200000.0
2023-10,218298600000.0
2023-11,223539300000.0
2023-12,228278000000.0
2024-01,222276800000.0
2024-02,180573800000.0
2024-03,221130600000.0
2024-04,220101800000.0
2024-05,219725900000.0
2024-06,208808000000.0
2024-07,215909600000.0
2024-08,217625700000.0
2024-09,222001600000.0
2024-10,213339600000.0
2024-11,214867300000.0
2024-12,230789100000.0
2025-01,185971900000.0
2025-02,183453700000.0
2025-03,211269300000.0
2025-04,219512200000.0
2025-05,212880600000.0
2025-06,210481500000.0
2025-07,223539300000.0
2025-08,219481400000.0
2025-09,238118000000.0
2025-10,215279000000.0
2025-11,218674600000.0
2025-12,243640000000.0
