date,TEU
2000-01,"358,156"
2000-02,"358,156"
2000-03,"358,156"
2000-04,"358,156"
2000-05,"358,156"
2000-06,"358,156"
2000-07,"358,156"
2000-08,"358,156"
2000-09,"358,156"
2000-10,"358,156"
2000-11,"358,156"
2000-12,"358,156"
2001-01,"394,506"
2001-02,"394,506"
2001-03,"394,506"
2001-04,"394,506"
2001-05,"394,506"
2001-06,"394,506"
2001-07,"394,506"
2001-08,"394,506"
2001-09,"394,506"
2001-10,"394,506"
2001-11,"394,506"
2001-12,"394,506"
2002-01,"446,387"
2002-02,"446,387"
2002-03,"446,387"
2002-04,"446,387"
2002-05,"446,387"
2002-06,"446,387"
2002-07,"446,387"
2002-08,"446,387"
2002-09,"446,387"
2002-10,"446,387"
2002-11,"446,387"
2002-12,"446,387"
2003-01,"491,346"
2003-02,"491,346"
2003-03,"491,346"
2003-04,"491,346"
2003-05,"491,346"
2003-06,"491,346"
2003-07,"491,346"
2003-08,"491,346"
2003-09,"491,346"
2003-10,"491,346"
2003-11,"491,346"
2003-12,"491,346"
2004-01,"536,434"
2004-02,"536,434"
2004-03,"536,434"
2004-04,"536,434"
2004-05,"536,434"
2004-06,"536,434"
2004-07,"536,434"
2004-08,"536,434"
2004-09,"536,434"
2004-10,"536,434"
2004-11,"536,434"
2004-12,"536,434"
2005-01,"597,112"
2005-02,"597,112"
2005-03,"597,112"
2005-04,"597,112"
2005-05,"597,112"
2005-06,"597,112"
2005-07,"597,112"
2005-08,"597,112"
2005-09,"597,112"
2005-10,"597,112"
2005-11,"597,112"
2005-12,"597,112"
2006-01,"676,705"
2006-02,"676,705"
2006-03,"676,705"
2006-04,"676,705"
2006-05,"676,705"
2006-06,"676,705"
2006-07,"676,705"
2006-08,"676,705"
2006-09,"676,705"
2006-10,"676,705"
2006-11,"676,705"
2006-12,"676,705"
2007-01,"786,364"
2007-02,"786,364"
2007-03,"786,364"
2007-04,"786,364"
2007-05,"786,364"
2007-06,"786,364"
2007-07,"786,364"
2007-08,"786,364"
2007-09,"786,364"
2007-10,"786,364"
2007-11,"786,364"
2007-12,"786,364"
2008-01,"896,681"
2008-02,"896,681"
2008-03,"896,681"
2008-04,"896,681"
2008-05,"896,681"
2008-06,"896,681"
2008-07,"896,681"
2008-08,"896,681"
2008-09,"896,681"
2008-10,"896,681"
2008-11,"896,681"
2008-12,"896,681"
2009-01,"1,011,870"
2009-02,"1,011,870"
2009-03,"1,011,870"
2009-04,"1,011,870"
2009-05,"1,011,870"
2009-06,"1,011,870"
2009-07,"1,011,870"
2009-08,"1,011,870"
2009-09,"1,011,870"
2009-10,"1,011,870"
2009-11,"1,011,870"
2009-12,"1,011,870"
2010-01,"1,068,720"
2010-02,"1,068,720"
2010-03,"1,068,720"
2010-04,"1,068,720"
2010-05,"1,068,720"
2010-06,"1,068,720"
2010-07,"1,068,720"
2010-08,"1,068,720"
2010-09,"1,068,720"
2010-10,"1,068,720"
2010-11,"1,068,720"
2010-12,"1,068,720"
2011-01,"1,173,496"
2011-02,"1,173,496"
2011-03,"1,173,496"
2011-04,"1,173,496"
2011-05,"1,173,496"
2011-06,"1,173,496"
2011-07,"1,173,496"
2011-08,"1,173,496"
2011-09,"1,173,496"
2011-10,"1,173,496"
2011-11,"1,173,496"
2011-12,"1,173,496"
2012-01,"1,283,884"
2012-02,"1,283,884"
2012-03,"1,283,884"
2012-04,"1,283,884"
2012-05,"1,283,884"
2012-06,"1,283,884"
2012-07,"1,283,884"
2012-08,"1,283,884"
2012-09,"1,283,884"
2012-10,"1,283,884"
2012-11,"1,283,884"
2012-12,"1,283,884"
2013-01,"1,361,602"
2013-02,"1,361,602"
2013-03,"1,361,602"
2013-04,"1,361,602"
2013-05,"1,361,602"
2013-06,"1,361,602"
2013-07,"1,361,602"
2013-08,"1,361,602"
2013-09,"1,361,602"
2013-10,"1,361,602"
2013-11,"1,361,602"
2013-12,"1,361,602"
2014-01,"1,442,914"
2014-02,"1,442,914"
2014-03,"1,442,914"
2014-04,"1,442,914"
2014-05,"1,442,914"
2014-06,"1,442,914"
2014-07,"1,442,914"
2014-08,"1,442,914"
2014-09,"1,442,914"
2014-10,"1,442,914"
2014-11,"1,442,914"
2014-12,"1,442,914"
2015-01,"1,542,172"
2015-02,"1,542,172"
2015-03,"1,542,172"
2015-04,"1,542,172"
2015-05,"1,542,172"
2015-06,"1,542,172"
2015-07,"1,542,172"
2015-08,"1,542,172"
2015-09,"1,542,172"
2015-10,"1,542,172"
2015-11,"1,542,172"
2015-12,"1,542,172"
2016-01,"1,642,926"
2016-02,"1,642,926"
2016-03,"1,642,926"
2016-04,"1,642,926"
2016-05,"1,642,926"
2016-06,"1,642,926"
2016-07,"1,642,926"
2016-08,"1,642,926"
2016-09,"1,642,926"
2016-10,"1,642,926"
2016-11,"1,642,926"
2016-12,"1,642,926"
2017-01,"1,693,134"
2017-02,"1,693,134"
2017-03,"1,693,134"
2017-04,"1,693,134"
2017-05,"1,693,134"
2017-06,"1,693,134"
2017-07,"1,693,134"
2017-08,"1,693,134"
2017-09,"1,693,134"
2017-10,"1,693,134"
2017-11,"1,693,134"
2017-12,"1,693,134"
2018-01,"1,745,667"
2018-02,"1,745,667"
2018-03,"1,745,667"
2018-04,"1,745,667"
2018-05,"1,745,667"
2018-06,"1,745,667"
2018-07,"1,745,667"
2018-08,"1,745,667"
2018-09,"1,745,667"
2018-10,"1,745,667"
2018-11,"1,745,667"
2018-12,"1,745,667"
2019-01,"1,827,278"
2019-02,"1,827,278"
2019-03,"1,827,278"
2019-04,"1,827,278"
2019-05,"1,827,278"
2019-06,"1,827,278"
2019-07,"1,827,278"
2019-08,"1,827,278"
2019-09,"1,827,278"
2019-10,"1,827,278"
2019-11,"1,827,278"
2019-12,"1,827,278"
2020-01,"1,885,931"
2020-02,"1,885,931"
2020-03,"1,885,931"
2020-04,"1,885,931"
2020-05,"1,885,931"
2020-06,"1,885,931"
2020-07,"1,885,931"
2020-08,"1,885,931"
2020-09,"1,885,931"
2020-10,"1,885,931"
2020-11,"1,885,931"
2020-12,"1,885,931"
2021-01,"1,941,675"
2021-02,"1,941,675"
2021-03,"1,941,675"
2021-04,"1,941,675"
2021-05,"1,941,675"
2021-06,"1,941,675"
2021-07,"1,941,675"
2021-08,"1,941,675"
2021-09,"1,941,675"
2021-10,"1,941,675"
2021-11,"1,941,675"
2021-12,"1,941,675"
2022-01,"2,026,608"
2022-02,"2,026,608"
2022-03,"2,026,608"
2022-04,"2,026,608"
2022-05,"2,026,608"
2022-06,"2,026,608"
2022-07,"2,026,608"
2022-08,"2,026,608"
2022-09,"2,026,608"
2022-10,"2,026,608"
2022-11,"2,026,608"
2022-12,"2,026,608"
2023-01,"2,108,416"
2023-02,"2,108,416"
2023-03,"2,108,416"
2023-04,"2,108,416"
2023-05,"2,108,416"
2023-06,"2,108,416"
2023-07,"2,108,416"
2023-08,"2,108,416"
2023-09,"2,108,416"
2023-10,"2,108,416"
2023-11,"2,108,416"
2023-12,"2,108,416"
2024-01,"2,333,666"
2024-02,"2,333,666"
2024-03,"2,333,666"
2024-04,"2,333,666"
2024-05,"2,333,666"
2024-06,"2,333,666"
2024-07,"2,333,666"
2024-08,"2,333,666"
2024-09,"2,333,666"
2024-10,"2,333,666"
2024-11,"2,333,666"
2024-12,"2,333,666"
2025-01,"2,500,000"
2025-02,"2,500,000"
2025-03,"2,500,000"
2025-04,"2,500,000"
2025-05,"2,500,000"
2025-06,"2,500,000"
2025-07,"2,500,000"
2025-08,"2,500,000"
2025-09,"2,500,000"
2025-10,"2,500,000"
2025-11,"2,500,000"
2025-12,"2,500,000"
