date,dwt_other
1980-01,2436.3333333333335
1980-02,2436.3333333333335
1980-03,2436.3333333333335
1980-04,2436.3333333333335
1980-05,2436.3333333333335
1980-06,2436.3333333333335
1980-07,2436.3333333333335
1980-08,2436.3333333333335
1980-09,2436.3333333333335
1980-10,2436.3333333333335
1980-11,2436.3333333333335
1980-12,2436.3333333333335
1981-01,2557.8333333333335
1981-02,2557.8333333333335
1981-03,2557.8333333333335
1981-04,2557.8333333333335
1981-05,2557.8333333333335
1981-06,2557.8333333333335
1981-07,2557.8333333333335
1981-08,2557.8333333333335
1981-09,2557.8333333333335
1981-10,2557.8333333333335
1981-11,2557.8333333333335
1981-12,2557.8333333333335
1982-01,2764.3333333333335
1982-02,2764.3333333333335
1982-03,2764.3333333333335
1982-04,2764.3333333333335
1982-05,2764.3333333333335
1982-06,2764.3333333333335
1982-07,2764.3333333333335
1982-08,2764.3333333333335
1982-09,2764.3333333333335
1982-10,2764.3333333333335
1982-11,2764.3333333333335
1982-12,2764.3333333333335
1983-01,2976.25
1983-02,2976.25
1983-03,2976.25
1983-04,2976.25
1983-05,2976.25
1983-06,2976.25
1983-07,2976.25
1983-08,2976.25
1983-09,2976.25
1983-10,2976.25
1983-11,2976.25
1983-12,2976.25
1984-01,3183.8333333333335
1984-02,3183.8333333333335
1984-03,3183.8333333333335
1984-04,3183.8333333333335
1984-05,3183.8333333333335
1984-06,3183.8333333333335
1984-07,3183.8333333333335
1984-08,3183.8333333333335
1984-09,3183.8333333333335
1984-10,3183.8333333333335
1984-11,3183.8333333333335
1984-12,3183.8333333333335
1985-01,3258.4166666666665
1985-02,3258.4166666666665
1985-03,3258.4166666666665
1985-04,3258.4166666666665
1985-05,3258.4166666666665
1985-06,3258.4166666666665
1985-07,3258.4166666666665
1985-08,3258.4166666666665
1985-09,3258.4166666666665
1985-10,3258.4166666666665
1985-11,3258.4166666666665
1985-12,3258.4166666666665
1986-01,3765.9166666666665
1986-02,3765.9166666666665
1986-03,3765.9166666666665
1986-04,3765.9166666666665
1986-05,3765.9166666666665
1986-06,3765.9166666666665
1986-07,3765.9166666666665
1986-08,3765.9166666666665
1986-09,3765.9166666666665
1986-10,3765.9166666666665
1986-11,3765.9166666666665
1986-12,3765.9166666666665
1987-01,3893.5833333333335
1987-02,3893.5833333333335
1987-03,3893.5833333333335
1987-04,3893.5833333333335
1987-05,3893.5833333333335
1987-06,3893.5833333333335
1987-07,3893.5833333333335
1987-08,3893.5833333333335
1987-09,3893.5833333333335
1987-10,3893.5833333333335
1987-11,3893.5833333333335
1987-12,3893.5833333333335
1988-01,3989.8333333333335
1988-02,3989.8333333333335
1988-03,3989.8333333333335
1988-04,3989.8333333333335
1988-05,3989.8333333333335
1988-06,3989.8333333333335
1988-07,3989.8333333333335
1988-08,3989.8333333333335
1988-09,3989.8333333333335
1988-10,3989.8333333333335
1988-11,3989.8333333333335
1988-12,3989.8333333333335
1989-01,4050.25
1989-02,4050.25
1989-03,4050.25
1989-04,4050.25
1989-05,4050.25
1989-06,4050.25
1989-07,4050.25
1989-08,4050.25
1989-09,4050.25
1989-10,4050.25
1989-11,4050.25
1989-12,4050.25
1990-01,3980.8333333333335
1990-02,3980.8333333333335
1990-03,3980.8333333333335
1990-04,3980.8333333333335
1990-05,3980.8333333333335
1990-06,3980.8333333333335
1990-07,3980.8333333333335
1990-08,3980.8333333333335
1990-09,3980.8333333333335
1990-10,3980.8333333333335
1990-11,3980.8333333333335
1990-12,3980.8333333333335
1991-01,4226.333333333333
1991-02,4226.333333333333
1991-03,4226.333333333333
1991-04,4226.333333333333
1991-05,4226.333333333333
1991-06,4226.333333333333
1991-07,4226.333333333333
1991-08,4226.333333333333
1991-09,4226.333333333333
1991-10,4226.333333333333
1991-11,4226.333333333333
1991-12,4226.333333333333
1992-01,4369.75
1992-02,4369.75
1992-03,4369.75
1992-04,4369.75
1992-05,4369.75
1992-06,4369.75
1992-07,4369.75
1992-08,4369.75
1992-09,4369.75
1992-10,4369.75
1992-11,4369.75
1992-12,4369.75
1993-01,4485.25
1993-02,4485.25
1993-03,4485.25
1993-04,4485.25
1993-05,4485.25
1993-06,4485.25
1993-07,4485.25
1993-08,4485.25
1993-09,4485.25
1993-10,4485.25
1993-11,4485.25
1993-12,4485.25
1994-01,4615.0
1994-02,4615.0
1994-03,4615.0
1994-04,4615.0
1994-05,4615.0
1994-06,4615.0
1994-07,4615.0
1994-08,4615.0
1994-09,4615.0
1994-10,4615.0
1994-11,4615.0
1994-12,4615.0
1995-01,4642.083333333333
1995-02,4642.083333333333
1995-03,4642.083333333333
1995-04,4642.083333333333
1995-05,4642.083333333333
1995-06,4642.083333333333
1995-07,4642.083333333333
1995-08,4642.083333333333
1995-09,4642.083333333333
1995-10,4642.083333333333
1995-11,4642.083333333333
1995-12,4642.083333333333
1996-01,4761.333333333333
1996-02,4761.333333333333
1996-03,4761.333333333333
1996-04,4761.333333333333
1996-05,4761.333333333333
1996-06,4761.333333333333
1996-07,4761.333333333333
1996-08,4761.333333333333
1996-09,4761.333333333333
1996-10,4761.333333333333
1996-11,4761.333333333333
1996-12,4761.333333333333
1997-01,5034.0
1997-02,5034.0
1997-03,5034.0
1997-04,5034.0
1997-05,5034.0
1997-06,5034.0
1997-07,5034.0
1997-08,5034.0
1997-09,5034.0
1997-10,5034.0
1997-11,5034.0
1997-12,5034.0
1998-01,5206.083333333333
1998-02,5206.083333333333
1998-03,5206.083333333333
1998-04,5206.083333333333
1998-05,5206.083333333333
1998-06,5206.083333333333
1998-07,5206.083333333333
1998-08,5206.083333333333
1998-09,5206.083333333333
1998-10,5206.083333333333
1998-11,5206.083333333333
1998-12,5206.083333333333
1999-01,5621.083333333333
1999-02,5621.083333333333
1999-03,5621.083333333333
1999-04,5621.083333333333
1999-05,5621.083333333333
1999-06,5621.083333333333
1999-07,5621.083333333333
1999-08,5621.083333333333
1999-09,5621.083333333333
1999-10,5621.083333333333
1999-11,5621.083333333333
1999-12,5621.083333333333
2000-01,5930.0
2000-02,5930.0
2000-03,5930.0
2000-04,5930.0
2000-05,5930.0
2000-06,5930.0
2000-07,5930.0
2000-08,5930.0
2000-09,5930.0
2000-10,5930.0
2000-11,5930.0
2000-12,5930.0
2001-01,5713.75
2001-02,5713.75
2001-03,5713.75
2001-04,5713.75
2001-05,5713.75
2001-06,5713.75
2001-07,5713.75
2001-08,5713.75
2001-09,5713.75
2001-10,5713.75
2001-11,5713.75
2001-12,5713.75
2002-01,5684.0
2002-02,5684.0
2002-03,5684.0
2002-04,5684.0
2002-05,5684.0
2002-06,5684.0
2002-07,5684.0
2002-08,5684.0
2002-09,5684.0
2002-10,5684.0
2002-11,5684.0
2002-12,5684.0
2003-01,4764.416666666667
2003-02,4764.416666666667
2003-03,4764.416666666667
2003-04,4764.416666666667
2003-05,4764.416666666667
2003-06,4764.416666666667
2003-07,4764.416666666667
2003-08,4764.416666666667
2003-09,4764.416666666667
2003-10,4764.416666666667
2003-11,4764.416666666667
2003-12,4764.416666666667
2004-01,4010.1666666666665
2004-02,4010.1666666666665
2004-03,4010.1666666666665
2004-04,4010.1666666666665
2004-05,4010.1666666666665
2004-06,4010.1666666666665
2004-07,4010.1666666666665
2004-08,4010.1666666666665
2004-09,4010.1666666666665
2004-10,4010.1666666666665
2004-11,4010.1666666666665
2004-12,4010.1666666666665
2005-01,4083.9166666666665
2005-02,4083.9166666666665
2005-03,4083.9166666666665
2005-04,4083.9166666666665
2005-05,4083.9166666666665
2005-06,4083.9166666666665
2005-07,4083.9166666666665
2005-08,4083.9166666666665
2005-09,4083.9166666666665
2005-10,4083.9166666666665
2005-11,4083.9166666666665
2005-12,4083.9166666666665
2006-01,4354.083333333333
2006-02,4354.083333333333
2006-03,4354.083333333333
2006-04,4354.083333333333
2006-05,4354.083333333333
2006-06,4354.083333333333
2006-07,4354.083333333333
2006-08,4354.083333333333
2006-09,4354.083333333333
2006-10,4354.083333333333
2006-11,4354.083333333333
2006-12,4354.083333333333
2007-01,5212.833333333333
2007-02,5212.833333333333
2007-03,5212.833333333333
2007-04,5212.833333333333
2007-05,5212.833333333333
2007-06,5212.833333333333
2007-07,5212.833333333333
2007-08,5212.833333333333
2007-09,5212.833333333333
2007-10,5212.833333333333
2007-11,5212.833333333333
2007-12,5212.833333333333
2008-01,5718.666666666667
2008-02,5718.666666666667
2008-03,5718.666666666667
2008-04,5718.666666666667
2008-05,5718.666666666667
2008-06,5718.666666666667
2008-07,5718.666666666667
2008-08,5718.666666666667
2008-09,5718.666666666667
2008-10,5718.666666666667
2008-11,5718.666666666667
2008-12,5718.666666666667
2009-01,7074.583333333333
2009-02,7074.583333333333
2009-03,7074.583333333333
2009-04,7074.583333333333
2009-05,7074.583333333333
2009-06,7074.583333333333
2009-07,7074.583333333333
2009-08,7074.583333333333
2009-09,7074.583333333333
2009-10,7074.583333333333
2009-11,7074.583333333333
2009-12,7074.583333333333
2010-01,7672.666666666667
2010-02,7672.666666666667
2010-03,7672.666666666667
2010-04,7672.666666666667
2010-05,7672.666666666667
2010-06,7672.666666666667
2010-07,7672.666666666667
2010-08,7672.666666666667
2010-09,7672.666666666667
2010-10,7672.666666666667
2010-11,7672.666666666667
2010-12,7672.666666666667
2011-01,13747.833333333334
2011-02,13747.833333333334
2011-03,13747.833333333334
2011-04,13747.833333333334
2011-05,13747.833333333334
2011-06,13747.833333333334
2011-07,13747.833333333334
2011-08,13747.833333333334
2011-09,13747.833333333334
2011-10,13747.833333333334
2011-11,13747.833333333334
2011-12,13747.833333333334
2012-01,15199.5
2012-02,15199.5
2012-03,15199.5
2012-04,15199.5
2012-05,15199.5
2012-06,15199.5
2012-07,15199.5
2012-08,15199.5
2012-09,15199.5
2012-10,15199.5
2012-11,15199.5
2012-12,15199.5
2013-01,15382.666666666666
2013-02,15382.666666666666
2013-03,15382.666666666666
2013-04,15382.666666666666
2013-05,15382.666666666666
2013-06,15382.666666666666
2013-07,15382.666666666666
2013-08,15382.666666666666
2013-09,15382.666666666666
2013-10,15382.666666666666
2013-11,15382.666666666666
2013-12,15382.666666666666
2014-01,15812.333333333334
2014-02,15812.333333333334
2014-03,15812.333333333334
2014-04,15812.333333333334
2014-05,15812.333333333334
2014-06,15812.333333333334
2014-07,15812.333333333334
2014-08,15812.333333333334
2014-09,15812.333333333334
2014-10,15812.333333333334
2014-11,15812.333333333334
2014-12,15812.333333333334
2015-01,16289.083333333334
2015-02,16289.083333333334
2015-03,16289.083333333334
2015-04,16289.083333333334
2015-05,16289.083333333334
2015-06,16289.083333333334
2015-07,16289.083333333334
2015-08,16289.083333333334
2015-09,16289.083333333334
2015-10,16289.083333333334
2015-11,16289.083333333334
2015-12,16289.083333333334
2016-01,17095.833333333332
2016-02,17095.833333333332
2016-03,17095.833333333332
2016-04,17095.833333333332
2016-05,17095.833333333332
2016-06,17095.833333333332
2016-07,17095.833333333332
2016-08,17095.833333333332
2016-09,17095.833333333332
2016-10,17095.833333333332
2016-11,17095.833333333332
2016-12,17095.833333333332
2017-01,18035.75
2017-02,18035.75
2017-03,18035.75
2017-04,18035.75
2017-05,18035.75
2017-06,18035.75
2017-07,18035.75
2017-08,18035.75
2017-09,18035.75
2017-10,18035.75
2017-11,18035.75
2017-12,18035.75
2018-01,18529.083333333332
2018-02,18529.083333333332
2018-03,18529.083333333332
2018-04,18529.083333333332
2018-05,18529.083333333332
2018-06,18529.083333333332
2018-07,18529.083333333332
2018-08,18529.083333333332
2018-09,18529.083333333332
2018-10,18529.083333333332
2018-11,18529.083333333332
2018-12,18529.083333333332
2019-01,19405.916666666668
2019-02,19405.916666666668
2019-03,19405.916666666668
2019-04,19405.916666666668
2019-05,19405.916666666668
2019-06,19405.916666666668
2019-07,19405.916666666668
2019-08,19405.916666666668
2019-09,19405.916666666668
2019-10,19405.916666666668
2019-11,19405.916666666668
2019-12,19405.916666666668
2020-01,19903.5
2020-02,19903.5
2020-03,19903.5
2020-04,19903.5
2020-05,19903.5
2020-06,19903.5
2020-07,19903.5
2020-08,19903.5
2020-09,19903.5
2020-10,19903.5
2020-11,19903.5
2020-12,19903.5
2021-01,20383.833333333332
2021-02,20383.833333333332
2021-03,20383.833333333332
2021-04,20383.833333333332
2021-05,20383.833333333332
2021-06,20383.833333333332
2021-07,20383.833333333332
2021-08,20383.833333333332
2021-09,20383.833333333332
2021-10,20383.833333333332
2021-11,20383.833333333332
2021-12,20383.833333333332
2022-01,21079.416666666668
2022-02,21079.416666666668
2022-03,21079.416666666668
2022-04,21079.416666666668
2022-05,21079.416666666668
2022-06,21079.416666666668
2022-07,21079.416666666668
2022-08,21079.416666666668
2022-09,21079.416666666668
2022-10,21079.416666666668
2022-11,21079.416666666668
2022-12,21079.416666666668
2023-01,21817.0
2023-02,21817.0
2023-03,21817.0
2023-04,21817.0
2023-05,21817.0
2023-06,21817.0
2023-07,21817.0
2023-08,21817.0
2023-09,21817.0
2023-10,21817.0
2023-11,21817.0
2023-12,21817.0
2024-01,22595.083333333332
2024-02,22595.083333333332
2024-03,22595.083333333332
2024-04,22595.083333333332
2024-05,22595.083333333332
2024-06,22595.083333333332
2024-07,22595.083333333332
2024-08,22595.083333333332
2024-09,22595.083333333332
2024-10,22595.083333333332
2024-11,22595.083333333332
2024-12,22595.083333333332
2025-01,23554.166666666668
2025-02,23554.166666666668
2025-03,23554.166666666668
2025-04,23554.166666666668
2025-05,23554.166666666668
2025-06,23554.166666666668
2025-07,23554.166666666668
2025-08,23554.166666666668
2025-09,23554.166666666668
2025-10,23554.166666666668
2025-11,23554.166666666668
2025-12,23554.166666666668
